book,ts_code,position,value,wavg_cost,return,pct_return
yz,cash,19981582.07865206,19981582.07865206,0.0,19981582.07865206,0.0
jx,cash,30005705.46475375,30005705.46475375,0.0,30005705.46475375,0.0
jx,601800.SH,96.0,1026.2438709677422,10.74212365591398,-5.0,-0.4848513664675542
yz,600406.SH,932.0,15978.988577132082,17.15020233597863,-5.0,-0.03128130363627376
yz,600038.SH,61.0,2428.932770805812,39.90053722632479,-5.0,-0.20542884585693094
jx,600522.SH,-765.0,-6748.457081799835,8.806155064990895,-11.748457081800552,-0.1743946151788966
yz,cash,19963409.931039352,19963409.931039352,0.0,19963409.931039352,0.0
jx,cash,30011558.29350504,30011558.29350504,0.0,30011558.29350504,0.0
jx,601800.SH,192.0,2044.9625806451616,10.722526881720432,-13.762580645161279,-0.6685001429008363
yz,600406.SH,1864.0,31537.958025950982,17.037536260787327,-220.00956415659675,-0.6927696601879789
yz,600038.SH,122.0,4786.337199471598,39.60738828312797,-45.76417107001362,-0.9470863204362803
jx,600522.SH,-1530.0,-13784.404487712214,8.900012200215873,-167.38582138192942,-1.2292398614082167
yz,cash,19945246.837747756,19945246.837747756,0.0,19945246.837747756,0.0
jx,cash,30017426.27100297,30017426.27100297,0.0,30017426.27100297,0.0
jx,601800.SH,288.0,3090.0193548387097,10.742123655913979,-3.7122580645163907,-0.11999289301739804
yz,600406.SH,2796.0,47334.329590772984,17.003246585729105,-206.74786292559293,-0.43488257733945923
yz,600038.SH,183.0,7124.950284015852,39.41029944561145,-87.13451453104335,-1.208173738453538
jx,600522.SH,-2295.0,-20744.696545173927,8.941177610402267,-224.69392930072354,-1.0949995158719523
yz,cash,19927158.456719257,19927158.456719257,0.0,19927158.456719257,0.0
jx,cash,30023116.58701008,30023116.58701008,0.0,30023116.58701008,0.0
jx,601800.SH,384.0,4074.8748387096775,10.722526881720432,-42.57548387096813,-1.0340254413630325
yz,600406.SH,3728.0,62966.345844515905,16.97630469818336,-321.31807031165954,-0.5077104295460942
yz,600038.SH,244.0,9347.178269484808,39.15524330294302,-206.70109643328942,-2.1635305253137465
jx,600522.SH,-3060.0,-26903.041909058535,8.900012200215874,330.99542360204214,1.2153740540154654
yz,cash,19908840.66861009,19908840.66861009,0.0,19908840.66861009,0.0
jx,cash,30028918.42407454,30028918.42407454,0.0,30028918.42407454,0.0
jx,601800.SH,480.0,5140.625806451613,10.73036559139785,-9.949677419354884,-0.1931760334454336
yz,600406.SH,4660.0,79757.98012642785,17.00520599573243,513.7201863147202,0.6482743187998113
yz,600038.SH,305.0,11780.960419418756,39.06580803213721,-134.11103038309375,-1.1255579200519528
jx,600522.SH,-3825.0,-34234.045173928534,8.906927989127189,-165.04561551703955,-0.48444514854059006
yz,cash,19890028.26390376,19890028.26390376,0.0,19890028.26390376,0.0
jx,cash,30034840.477658942,30034840.477658942,0.0,30034840.477658942,0.0
jx,601800.SH,576.0,6490.451612903225,10.828676075268818,253.13419354838607,4.058382418744517
yz,600406.SH,5592.0,98284.47602528556,17.101217085895456,2654.47008095817,2.775771113622553
yz,600038.SH,366.0,14529.95221268164,39.1850550598783,188.22206076618022,1.3124083271155507
jx,600522.SH,-4590.0,-42124.898017333486,8.949410692439548,-1047.1029390359618,-2.5490728921552406
yz,cash,19871230.407334816,19871230.407334816,0.0,19871230.407334816,0.0
jx,cash,30041006.201935556,30041006.201935556,0.0,30041006.201935556,0.0
jx,601800.SH,672.0,7453.672258064517,10.873701996927805,146.54451612903267,2.005500947903458
yz,600406.SH,6524.0,114665.22202949983,17.169796436011904,2649.47008095817,2.3652656299404184
yz,600038.SH,427.0,16849.77395310436,39.236160928910195,95.93323645970668,0.5726044438538721
jx,600522.SH,-5355.0,-50734.47667101983,9.022097045282953,-2421.146993529619,-5.011343680288014
yz,cash,19852585.31227202,19852585.31227202,0.0,19852585.31227202,0.0
jx,cash,30047062.28644514,30047062.28644514,0.0,30047062.28644514,0.0
jx,601800.SH,768.0,8428.18064516129,10.892773857526883,62.53032258064377,0.7474651720962003
yz,600406.SH,7456.0,129877.21915492958,17.20163684856597,1621.814812021723,1.264519667089884
yz,600038.SH,488.0,19203.54134742404,39.260826608755444,44.257962351384776,0.2310000925497399
jx,600522.SH,-6120.0,-57013.87059242549,9.056852413026037,-1585.9338247061387,-2.861253579313762
yz,cash,19833976.587552685,19833976.587552685,0.0,19833976.587552685,0.0
jx,cash,30052943.531399388,30052943.531399388,0.0,30052943.531399388,0.0
jx,601800.SH,864.0,9354.71612903226,10.891276881720431,-55.34709677419232,-0.5881692337880017
yz,600406.SH,8388.0,146111.87154929579,17.226401613885795,1616.8148120217375,1.1189412624415842
yz,600038.SH,549.0,21276.650924702775,39.213762677667816,-251.70478533685673,-1.169177937818426
jx,600522.SH,-6885.0,-62438.359076338595,9.056440758924174,-84.76445114566013,-0.13594156304087793
yz,cash,19815530.9675349,19815530.9675349,0.0,19815530.9675349,0.0
jx,cash,30058797.3992199,30058797.3992199,0.0,30058797.3992199,0.0
jx,601800.SH,960.0,10441.161290322581,10.894978494623656,-18.018064516129016,-0.1722703465047031
yz,600406.SH,9320.0,160794.27933902628,17.229558441113376,214.79466784960823,0.13376221021598717
yz,600038.SH,610.0,23561.920838837512,39.16319310479243,-327.62695508586694,-1.3714238457422923
jx,600522.SH,-7650.0,-69148.9884839131,9.05314752610926,107.5900908227486,0.15534999423433324
yz,cash,19797098.153666824,19797098.153666824,0.0,19797098.153666824,0.0
jx,cash,30064672.967495162,30064672.967495162,0.0,30064672.967495162,0.0
jx,601800.SH,1056.0,11412.847741935484,10.891771749755621,-88.86322580645174,-0.7726087540860692
yz,600406.SH,10252.0,176672.82855938782,17.23036001793292,27.17765553953359,0.015385408811636648
yz,600038.SH,671.0,25978.123989431966,39.12994847887673,-278.0714398943164,-1.0590698132286547
jx,600522.SH,-8415.0,-76230.32909889589,9.052249371705193,-55.650635996687924,-0.07305660768071703
yz,cash,19778255.778660085,19778255.778660085,0.0,19778255.778660085,0.0
jx,cash,30070607.151042603,30070607.151042603,0.0,30070607.151042603,0.0
jx,601800.SH,1152.0,12563.256774193549,10.897264784946238,9.607741935484228,0.07653345979958509
yz,600406.SH,11184.0,197335.9435022735,17.265317673674097,4240.630639902403,2.1961333897964255
yz,600038.SH,732.0,28652.556578599735,39.13785311139744,3.648101056809537,0.012733822161738488
jx,600522.SH,-9180.0,-83977.43678024456,9.058910683535355,-816.636705390003,-0.9819971725319301
yz,cash,19758902.83525027,19758902.83525027,0.0,19758902.83525027,0.0
jx,cash,30076663.301168226,30076663.301168226,0.0,30076663.301168226,0.0
jx,601800.SH,1248.0,13891.447741935484,10.91924834574028,264.2258064516136,1.9389557732496971
yz,600406.SH,12116.0,219953.06047687703,17.334085428598556,9933.281423976936,4.7296885411325595
yz,600038.SH,793.0,31505.203850726546,39.189641484022175,427.81815389696203,1.376622081633484
jx,600522.SH,-9945.0,-92844.24361866318,9.078986737426257,-2553.720514959059,-2.8283372686034354
yz,cash,19739279.188507695,19739279.188507695,0.0,19739279.188507695,0.0
jx,cash,30082734.56723247,30082734.56723247,0.0,30082734.56723247,0.0
jx,601800.SH,1344.0,14960.02064516129,10.938091397849462,259.2258064516136,1.763345514958336
yz,600406.SH,13048.0,240068.32438283245,17.410523950706366,12895.807874015765,5.676658458601559
yz,600038.SH,854.0,34522.730013210035,39.283717779259305,974.4350297225901,2.9045739290244392
jx,600522.SH,-10710.0,-100197.9434880684,9.097606169110565,-2762.581416894245,-2.8352965064944766
yz,cash,19719517.972833496,19719517.972833496,0.0,19719517.972833496,0.0
